age,is_male,income,monthly_usage_hours,customer_service_calls,has_loyalty_card,churned,subscription_type_Premium,subscription_type_Standard,contract_length_Quarterly,contract_length_Yearly,payment_method_Cash,payment_method_Credit Card,payment_method_PayPal,region_North,region_South,region_West,engagement_score,high_value,risk_score,usage_per_age,low_engagement
61,1,104553,38,0,1,0,0,1,0,0,0,0,0,0,0,0,38.0,False,0,0.6129032258064516,0
69,0,98344,98,0,0,0,0,0,0,1,1,0,0,0,1,0,98.0,False,3,1.4,0
20,1,79138,43,9,0,0,0,0,0,1,0,0,1,0,0,0,4.3,False,5,2.0476190476190474,0
54,1,84302,19,2,0,0,1,0,1,0,0,0,0,0,0,1,6.333333333333333,False,5,0.34545454545454546,1
68,0,77638,64,9,0,1,0,0,0,1,0,0,1,0,0,0,6.4,False,5,0.927536231884058,0
24,0,108249,6,2,0,0,0,0,0,0,1,0,0,0,0,0,2.0,False,3,0.24,1
38,0,135865,46,7,0,0,0,0,0,1,0,0,0,0,0,0,5.75,False,5,1.1794871794871795,0
26,0,32719,42,8,1,0,0,0,0,0,0,0,1,1,0,0,4.666666666666667,False,2,1.5555555555555556,0
56,0,52890,92,0,0,0,1,0,0,0,1,0,0,0,0,1,92.0,False,3,1.6140350877192982,0
35,1,107236,65,1,0,0,0,1,0,0,1,0,0,0,0,1,32.5,False,3,1.8055555555555556,0
21,0,66509,99,9,1,0,0,1,0,0,0,0,0,0,1,0,9.9,False,2,4.5,0
42,1,72534,72,1,0,0,0,0,0,0,1,0,0,0,1,0,36.0,False,3,1.6744186046511629,0
31,1,132302,59,3,0,0,0,0,1,0,0,1,0,0,0,0,14.75,False,5,1.84375,0
67,0,122241,52,1,0,1,0,0,1,0,0,0,1,1,0,0,26.0,False,5,0.7647058823529411,0
26,1,48787,47,6,1,0,0,0,0,0,0,0,1,0,1,0,6.714285714285714,False,2,1.7407407407407407,0
43,1,78845,7,8,0,0,0,0,0,0,1,0,0,0,1,0,0.7777777777777778,False,5,0.1590909090909091,1
19,1,87932,11,6,1,0,0,1,1,0,1,0,0,0,0,0,1.5714285714285714,False,4,0.55,1
37,1,122124,61,5,0,0,0,0,1,0,0,1,0,0,0,0,10.166666666666666,False,5,1.605263157894737,0
45,0,121659,68,9,1,0,0,1,0,0,0,0,0,0,1,0,6.8,False,2,1.4782608695652173,0
64,1,63062,25,0,1,0,0,0,1,0,1,0,0,0,1,0,25.0,False,2,0.38461538461538464,1
24,0,105713,12,9,0,0,0,0,0,0,1,0,0,0,0,1,1.2,False,5,0.48,1
61,0,117263,26,8,0,0,0,0,0,0,1,0,0,1,0,0,2.888888888888889,False,5,0.41935483870967744,1
25,1,125756,12,4,1,0,1,0,0,1,1,0,0,0,0,1,2.4,True,0,0.46153846153846156,1
64,0,90461,43,4,1,0,1,0,0,0,0,0,1,0,1,0,8.6,False,0,0.6615384615384615,0
52,0,105418,51,5,0,0,1,0,0,0,1,0,0,0,0,1,8.5,True,3,0.9622641509433962,0
31,0,96672,37,8,0,0,0,0,0,1,0,0,1,0,0,1,4.111111111111111,False,5,1.15625,0
34,1,64832,46,7,0,0,0,0,1,0,1,0,0,0,1,0,5.75,False,7,1.3142857142857143,0
53,0,61966,53,7,1,0,0,1,0,0,0,0,0,0,0,0,6.625,False,2,0.9814814814814815,0
67,0,102545,88,7,0,0,0,0,0,0,0,1,0,0,1,0,11.0,False,5,1.2941176470588236,0
57,0,42987,80,0,1,0,1,0,0,0,0,0,0,0,0,0,80.0,False,0,1.3793103448275863,0
21,1,67311,13,0,1,0,0,0,1,0,1,0,0,0,1,0,13.0,False,2,0.5909090909090909,1
19,0,61575,89,7,0,0,0,0,0,0,1,0,0,0,1,0,11.125,False,5,4.45,0
23,1,93852,54,4,0,1,0,0,0,0,1,0,0,0,1,0,10.8,False,3,2.25,0
59,1,31007,57,8,0,0,0,0,0,1,0,0,0,1,0,0,6.333333333333333,False,5,0.95,0
21,1,100981,4,1,0,0,0,1,0,0,1,0,0,0,0,0,2.0,False,3,0.18181818181818182,1
46,1,106242,75,8,0,1,0,0,0,0,0,0,0,1,0,0,8.333333333333334,False,5,1.5957446808510638,0
35,1,77517,96,7,0,0,0,0,0,0,0,0,1,0,1,0,12.0,False,5,2.6666666666666665,0
43,1,140022,49,8,0,0,0,0,1,0,0,1,0,0,0,1,5.444444444444445,False,7,1.1136363636363635,0
61,0,59257,7,3,1,0,0,0,0,0,0,1,0,1,0,0,1.75,False,0,0.11290322580645161,1
51,1,117272,11,0,1,0,0,1,0,0,0,0,0,0,0,0,11.0,False,0,0.21153846153846154,1
27,0,72207,92,0,0,1,1,0,1,0,0,0,1,0,1,0,92.0,False,5,3.2857142857142856,0
53,0,43281,54,4,0,0,1,0,0,0,0,0,0,1,0,0,10.8,False,3,1.0,0
31,1,91246,87,1,1,1,0,1,0,0,0,0,1,0,0,1,43.5,False,0,2.71875,0
48,0,31435,45,7,0,0,0,0,0,0,1,0,0,1,0,0,5.625,False,5,0.9183673469387755,0
65,0,128875,23,9,1,1,0,1,0,0,0,0,1,0,0,0,2.3,False,2,0.3484848484848485,1
32,0,130686,28,4,0,0,0,0,0,0,0,0,1,1,0,0,5.6,False,3,0.8484848484848485,1
25,0,121357,57,4,1,0,0,0,0,0,0,0,1,0,0,1,11.4,False,0,2.1923076923076925,0
31,1,56660,26,1,0,0,1,0,0,0,0,1,0,0,0,1,13.0,False,3,0.8125,1
40,0,35084,25,6,0,0,0,0,0,0,0,0,1,0,0,0,3.5714285714285716,False,5,0.6097560975609756,1
57,1,112197,54,7,1,0,1,0,1,0,1,0,0,0,0,1,6.75,True,4,0.9310344827586207,0
38,0,43507,29,9,0,1,0,0,0,1,1,0,0,0,1,0,2.9,False,5,0.7435897435897436,1
33,0,102595,83,0,0,0,0,1,1,0,1,0,0,0,0,1,83.0,False,5,2.4411764705882355,0
62,1,113807,97,1,0,0,0,1,0,1,0,0,1,0,1,0,48.5,False,3,1.5396825396825398,0
35,0,75539,36,9,0,1,1,0,0,0,0,0,0,1,0,0,3.6,False,5,1.0,0
64,0,145953,14,3,0,0,0,1,0,1,0,0,0,0,1,0,3.5,False,3,0.2153846153846154,1
41,0,37491,78,4,1,0,0,1,0,0,1,0,0,0,1,0,15.6,False,0,1.8571428571428572,0
43,1,142831,35,1,0,0,0,0,0,1,0,1,0,1,0,0,17.5,False,3,0.7954545454545454,0
42,0,80192,30,0,1,0,0,1,0,1,0,0,0,0,0,1,30.0,False,0,0.6976744186046512,0
62,1,110395,92,8,1,0,0,0,1,0,0,0,1,0,1,0,10.222222222222221,False,4,1.4603174603174602,0
58,0,93888,17,0,1,0,0,1,0,1,0,0,0,0,0,1,17.0,False,0,0.288135593220339,1
46,1,103609,67,3,0,0,0,1,0,0,1,0,0,1,0,0,16.75,False,3,1.425531914893617,0
32,1,39077,80,1,0,1,0,1,0,0,0,1,0,0,0,0,40.0,False,3,2.4242424242424243,0
62,0,147440,30,3,1,0,0,0,0,0,0,0,0,0,0,1,7.5,False,0,0.47619047619047616,0
18,0,50953,93,7,1,0,0,0,0,0,0,0,0,0,0,1,11.625,False,2,4.894736842105263,0
42,1,106919,45,7,0,0,0,1,0,0,1,0,0,0,0,0,5.625,False,5,1.0465116279069768,0
24,1,144682,79,8,1,0,0,0,1,0,0,1,0,0,0,0,8.777777777777779,False,4,3.16,0
26,0,97889,89,4,1,1,0,0,0,1,0,1,0,1,0,0,17.8,False,0,3.2962962962962963,0
41,1,53821,51,6,1,0,0,0,0,0,1,0,0,0,0,1,7.285714285714286,False,2,1.2142857142857142,0
18,0,67567,47,2,0,0,1,0,1,0,0,0,1,0,0,1,15.666666666666666,False,5,2.473684210526316,0
61,0,145374,53,9,0,1,0,1,0,1,0,0,0,1,0,0,5.3,False,5,0.8548387096774194,0
25,0,54860,64,3,0,0,0,0,0,1,0,0,1,0,0,1,16.0,False,3,2.4615384615384617,0
41,0,51195,38,9,0,1,0,0,0,1,0,0,0,0,1,0,3.8,False,5,0.9047619047619048,0
28,1,107475,64,8,0,0,0,0,0,0,0,0,0,0,1,0,7.111111111111111,False,5,2.206896551724138,0
68,0,120874,87,9,0,0,0,1,0,1,0,0,1,0,1,0,8.7,False,5,1.2608695652173914,0
34,1,117266,89,9,0,0,0,1,1,0,1,0,0,0,0,1,8.9,False,7,2.5428571428571427,0
25,0,51427,7,0,0,0,0,0,0,0,1,0,0,0,1,0,7.0,False,3,0.2692307692307692,1
52,1,130732,22,1,1,0,0,0,0,0,0,0,0,0,1,0,11.0,False,0,0.41509433962264153,1
52,0,57083,81,4,1,0,0,0,1,0,1,0,0,1,0,0,16.2,False,2,1.528301886792453,0
50,1,117046,82,2,0,0,0,1,0,0,0,0,0,1,0,0,27.333333333333332,False,3,1.607843137254902,0
22,1,87372,41,1,0,0,0,1,1,0,1,0,0,0,0,0,20.5,False,5,1.7826086956521738,0
59,0,74064,74,0,0,0,0,0,1,0,0,0,0,0,0,0,74.0,False,5,1.2333333333333334,0
56,0,37813,10,9,0,1,0,0,0,0,1,0,0,0,0,0,1.0,False,5,0.17543859649122806,1
58,0,61598,57,2,0,0,0,0,0,0,0,1,0,0,0,0,19.0,False,3,0.9661016949152542,0
45,0,142718,7,0,1,0,1,0,1,0,0,0,1,1,0,0,7.0,True,2,0.15217391304347827,1
24,1,123106,50,0,0,1,0,0,0,0,0,1,0,1,0,0,50.0,False,3,2.0,0
26,0,57082,91,0,0,0,0,1,0,0,0,0,1,1,0,0,91.0,False,3,3.3703703703703702,0
25,1,59241,52,7,0,0,0,1,0,0,0,0,1,0,1,0,6.5,False,5,2.0,0
29,1,126214,33,2,0,1,0,0,0,0,0,0,0,0,1,0,11.0,False,3,1.1,0
51,0,74569,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,False,3,0.019230769230769232,1
50,1,41745,53,6,1,0,0,0,0,0,0,1,0,0,1,0,7.571428571428571,False,2,1.0392156862745099,0
65,1,56029,60,9,0,0,0,1,1,0,0,1,0,0,0,1,6.0,False,7,0.9090909090909091,0
40,1,43025,34,2,1,0,0,1,0,0,1,0,0,1,0,0,11.333333333333334,False,0,0.8292682926829268,0
41,1,131660,4,7,0,0,0,1,0,0,0,1,0,0,0,0,0.5,False,5,0.09523809523809523,1
54,0,44288,17,3,0,0,0,1,1,0,1,0,0,0,0,0,4.25,False,5,0.3090909090909091,1
52,0,119186,4,3,0,0,0,0,1,0,0,0,1,0,0,1,1.0,False,5,0.07547169811320754,1
61,0,36540,43,4,0,1,1,0,0,0,0,1,0,0,1,0,8.6,False,3,0.6935483870967742,0
57,0,127768,90,5,0,1,0,1,0,0,0,0,1,0,0,0,15.0,False,3,1.5517241379310345,0
39,1,111958,4,6,0,0,0,0,0,0,0,1,0,0,1,0,0.5714285714285714,False,5,0.1,1
44,1,98878,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0.25,True,3,0.022222222222222223,1
52,0,71846,71,7,0,0,0,1,1,0,1,0,0,0,0,1,8.875,False,7,1.3396226415094339,0
18,0,131148,94,5,0,1,0,1,0,0,0,0,1,0,0,0,15.666666666666666,False,3,4.947368421052632,0
52,0,105932,50,0,0,0,0,1,0,0,0,1,0,0,1,0,50.0,False,3,0.9433962264150944,0
54,1,47482,73,0,1,1,1,0,0,0,0,0,0,0,1,0,73.0,False,0,1.3272727272727274,0
64,0,53411,61,8,0,0,0,1,0,1,0,0,1,0,0,1,6.777777777777778,False,5,0.9384615384615385,0
31,0,80975,35,9,0,1,0,0,0,1,0,0,1,0,0,1,3.5,False,5,1.09375,0
20,0,90545,8,5,1,1,0,0,0,0,0,0,1,0,1,0,1.3333333333333333,False,0,0.38095238095238093,1
18,1,142302,24,9,1,0,1,0,1,0,1,0,0,0,0,1,2.4,True,4,1.263157894736842,1
22,1,108797,83,7,1,0,0,0,0,0,0,0,0,0,1,0,10.375,False,2,3.608695652173913,0
43,1,82307,36,6,0,0,0,0,0,0,0,0,1,0,0,0,5.142857142857143,False,5,0.8181818181818182,0
31,1,33093,50,5,0,0,0,0,1,0,0,1,0,1,0,0,8.333333333333334,False,5,1.5625,0
56,1,107258,43,3,0,0,0,0,0,1,0,1,0,0,0,1,10.75,False,3,0.7543859649122807,0
44,1,52042,27,6,1,0,0,1,0,1,1,0,0,1,0,0,3.857142857142857,False,2,0.6,1
26,1,82930,32,8,0,1,1,0,0,0,0,1,0,0,1,0,3.5555555555555554,False,5,1.1851851851851851,0
32,1,147584,78,9,1,0,0,0,0,0,0,0,1,0,1,0,7.8,False,2,2.3636363636363638,0
32,0,74413,18,9,0,0,0,0,1,0,0,1,0,0,1,0,1.8,False,7,0.5454545454545454,1
43,0,143387,28,6,0,0,0,0,0,0,0,0,1,1,0,0,4.0,False,5,0.6363636363636364,1
59,1,123623,29,0,1,1,1,0,0,0,0,1,0,0,1,0,29.0,True,0,0.48333333333333334,1
30,1,127883,16,9,0,0,0,1,0,0,0,0,0,0,0,1,1.6,False,5,0.5161290322580645,1
68,0,63756,99,8,1,0,0,0,1,0,1,0,0,0,0,0,11.0,False,4,1.434782608695652,0
49,1,83268,47,3,0,0,1,0,0,0,1,0,0,0,0,0,11.75,False,3,0.94,0
56,1,69214,59,2,0,1,1,0,0,0,0,0,0,0,0,1,19.666666666666668,False,3,1.0350877192982457,0
66,1,111871,31,3,0,1,1,0,0,1,0,0,0,0,0,0,7.75,True,3,0.4626865671641791,0
69,0,58602,4,3,1,0,1,0,0,0,1,0,0,1,0,0,1.0,False,0,0.05714285714285714,1
49,0,83331,37,9,1,0,0,0,0,0,0,0,0,0,1,0,3.7,False,2,0.74,0
21,0,78901,17,1,0,0,0,1,0,0,0,0,1,0,1,0,8.5,False,3,0.7727272727272727,1
47,0,129986,39,0,1,0,0,0,0,0,0,1,0,0,1,0,39.0,False,0,0.8125,0
54,0,93416,48,9,0,0,1,0,0,0,1,0,0,1,0,0,4.8,True,5,0.8727272727272727,0
40,1,62196,46,0,0,0,0,1,0,0,0,0,0,1,0,0,46.0,False,3,1.1219512195121952,0
56,0,35626,90,7,1,0,0,1,0,1,0,0,1,1,0,0,11.25,False,2,1.5789473684210527,0
62,1,37424,48,1,1,0,0,1,0,0,1,0,0,0,0,1,24.0,False,0,0.7619047619047619,0
32,1,42857,39,9,0,1,0,0,0,1,0,0,0,1,0,0,3.9,False,5,1.1818181818181819,0
60,0,140459,4,4,0,1,0,1,0,0,1,0,0,0,0,0,0.8,False,3,0.06557377049180328,1
46,0,145621,30,3,0,0,1,0,0,0,0,0,0,0,0,1,7.5,True,3,0.6382978723404256,0
53,1,49982,30,7,0,1,1,0,0,0,1,0,0,0,0,1,3.75,False,5,0.5555555555555556,0
30,1,106961,22,1,0,0,0,0,0,0,0,0,1,0,0,1,11.0,False,3,0.7096774193548387,1
49,1,31980,75,9,1,1,0,0,1,0,0,0,1,1,0,0,7.5,False,4,1.5,0
24,0,78290,66,8,0,0,0,0,0,0,0,1,0,0,0,1,7.333333333333333,False,5,2.64,0
68,0,56431,12,6,0,0,0,1,0,0,1,0,0,1,0,0,1.7142857142857142,False,5,0.17391304347826086,1
39,0,114976,94,6,1,0,1,0,0,1,0,1,0,1,0,0,13.428571428571429,True,2,2.35,0
45,0,137288,36,0,1,1,0,0,0,1,1,0,0,0,0,1,36.0,False,0,0.782608695652174,0
19,0,112711,18,1,1,0,0,1,0,1,0,0,0,0,1,0,9.0,False,0,0.9,1
59,1,144187,90,3,1,0,1,0,0,0,0,0,0,0,1,0,22.5,True,0,1.5,0
62,0,56385,53,3,0,0,0,1,1,0,0,1,0,0,0,1,13.25,False,5,0.8412698412698413,0
23,1,68158,71,2,0,1,0,1,0,0,1,0,0,0,1,0,23.666666666666668,False,3,2.9583333333333335,0
45,1,53019,1,6,1,0,0,1,0,0,0,1,0,0,0,0,0.14285714285714285,False,2,0.021739130434782608,1
45,1,48639,58,7,0,0,0,1,0,0,0,0,1,0,0,0,7.25,False,5,1.2608695652173914,0
61,0,115530,90,1,0,0,0,0,0,0,0,1,0,1,0,0,45.0,False,3,1.4516129032258065,0
61,0,129911,87,3,0,0,0,1,0,0,0,1,0,0,1,0,21.75,False,3,1.403225806451613,0
37,0,51563,90,2,0,1,0,1,0,0,0,0,0,0,0,0,30.0,False,3,2.3684210526315788,0
47,1,69341,6,1,1,0,1,0,0,1,0,1,0,0,0,1,3.0,False,0,0.125,1
28,1,145672,70,5,0,0,0,1,0,0,1,0,0,0,1,0,11.666666666666666,False,3,2.413793103448276,0
45,1,35776,44,3,0,0,0,1,0,0,0,0,0,0,0,0,11.0,False,3,0.9565217391304348,0
42,1,66444,72,5,1,0,0,0,0,0,0,1,0,0,0,0,12.0,False,0,1.6744186046511629,0
56,1,98916,24,1,1,1,0,0,0,1,0,0,1,0,0,1,12.0,False,0,0.42105263157894735,1
50,1,38711,86,3,1,0,0,0,0,0,0,1,0,1,0,0,21.5,False,0,1.6862745098039216,0
18,0,104318,19,5,1,1,0,0,0,0,0,1,0,0,0,1,3.1666666666666665,False,0,1.0,1
44,0,112970,18,4,0,0,0,1,1,0,0,1,0,1,0,0,3.6,False,5,0.4,1
69,0,142301,95,2,0,0,1,0,1,0,0,0,0,0,0,0,31.666666666666668,True,5,1.3571428571428572,0
30,0,115553,30,7,0,0,0,0,0,0,1,0,0,1,0,0,3.75,False,5,0.967741935483871,0
58,1,60707,42,6,0,0,0,0,1,0,0,0,1,0,0,0,6.0,False,7,0.711864406779661,0
20,1,69110,33,2,0,0,1,0,1,0,0,1,0,0,0,0,11.0,False,5,1.5714285714285714,0
56,0,91788,74,5,0,0,0,0,1,0,1,0,0,0,1,0,12.333333333333334,False,5,1.2982456140350878,0
23,1,112879,12,3,0,0,0,1,0,0,1,0,0,1,0,0,3.0,False,3,0.5,1
25,0,68827,94,4,1,1,0,1,0,1,0,0,0,1,0,0,18.8,False,0,3.6153846153846154,0
44,0,137188,27,4,0,1,0,1,0,0,0,0,1,1,0,0,5.4,False,3,0.6,1
26,0,35655,39,6,0,0,0,0,0,0,0,0,0,0,0,1,5.571428571428571,False,5,1.4444444444444444,0
54,1,74859,9,4,1,0,0,0,0,0,1,0,0,0,1,0,1.8,False,0,0.16363636363636364,1
50,0,83625,21,2,0,1,0,1,0,0,1,0,0,0,1,0,7.0,False,3,0.4117647058823529,1
68,0,82098,76,9,0,0,0,1,0,0,1,0,0,0,1,0,7.6,False,5,1.1014492753623188,0
59,0,45251,29,4,0,0,0,0,1,0,0,0,0,0,0,1,5.8,False,5,0.48333333333333334,1
61,1,30526,33,6,0,0,0,1,0,0,0,0,1,1,0,0,4.714285714285714,False,5,0.532258064516129,0
41,1,98760,62,4,0,0,0,0,0,0,0,1,0,1,0,0,12.4,False,3,1.4761904761904763,0
32,0,77837,15,4,0,0,0,1,0,0,0,0,0,1,0,0,3.0,False,3,0.45454545454545453,1
49,1,41536,2,8,0,0,0,0,0,0,1,0,0,0,1,0,0.2222222222222222,False,5,0.04,1
49,1,58541,52,2,0,0,1,0,0,1,0,0,0,0,1,0,17.333333333333332,False,3,1.04,0
41,1,109083,44,5,0,1,0,0,0,0,1,0,0,0,0,0,7.333333333333333,False,3,1.0476190476190477,0
58,1,81027,54,0,0,0,0,0,0,0,0,1,0,0,0,1,54.0,False,3,0.9152542372881356,0
69,1,64531,18,9,0,0,0,0,0,0,0,1,0,0,0,1,1.8,False,5,0.2571428571428571,1
66,1,38712,3,4,0,0,0,0,0,0,0,0,1,0,1,0,0.6,False,3,0.04477611940298507,1
66,1,134101,7,7,0,0,1,0,0,0,1,0,0,0,0,0,0.875,True,5,0.1044776119402985,1
69,1,95455,43,4,1,0,1,0,1,0,0,0,1,1,0,0,8.6,True,2,0.6142857142857143,0
29,1,104744,82,8,1,0,0,0,0,1,0,0,1,0,1,0,9.11111111111111,False,2,2.7333333333333334,0
56,1,35109,38,5,1,0,0,0,0,0,0,1,0,0,0,1,6.333333333333333,False,0,0.6666666666666666,0
19,0,79268,37,7,0,0,0,1,1,0,0,0,0,0,0,1,4.625,False,7,1.85,0
20,0,130737,58,9,1,0,1,0,1,0,0,0,0,0,0,1,5.8,True,4,2.761904761904762,0
66,1,84615,33,7,1,0,0,1,1,0,0,0,1,1,0,0,4.125,False,4,0.4925373134328358,0
54,0,112503,59,2,0,0,0,0,0,0,0,1,0,0,0,1,19.666666666666668,False,3,1.0727272727272728,0
66,0,59759,95,6,0,0,0,0,0,0,1,0,0,1,0,0,13.571428571428571,False,5,1.4179104477611941,0
34,1,115708,11,6,0,0,0,1,0,0,0,0,0,1,0,0,1.5714285714285714,False,5,0.3142857142857143,1
66,1,90112,68,9,1,0,0,0,1,0,0,0,1,1,0,0,6.8,False,4,1.0149253731343284,0
19,1,132471,82,5,0,1,0,1,1,0,0,0,0,0,1,0,13.666666666666666,False,5,4.1,0
19,0,56589,68,6,0,0,0,0,0,0,0,0,0,1,0,0,9.714285714285714,False,5,3.4,0
45,0,60015,98,1,0,0,0,1,0,0,1,0,0,0,0,0,49.0,False,3,2.130434782608696,0
40,1,59009,93,8,0,1,0,0,0,1,0,1,0,0,0,1,10.333333333333334,False,5,2.268292682926829,0
54,1,113309,88,9,0,0,0,1,1,0,1,0,0,0,1,0,8.8,False,7,1.6,0
49,1,92046,22,9,1,0,0,0,0,1,0,1,0,0,0,1,2.2,False,2,0.44,1
50,0,136661,66,0,1,0,0,1,1,0,0,0,0,1,0,0,66.0,False,2,1.2941176470588236,0
18,0,56143,44,0,1,1,0,0,0,0,0,0,1,0,1,0,44.0,False,0,2.3157894736842106,0
36,0,36154,6,2,0,0,0,1,0,0,1,0,0,0,0,0,2.0,False,3,0.16216216216216217,1
19,0,51804,42,2,0,0,0,1,1,0,0,1,0,1,0,0,14.0,False,5,2.1,0
61,1,71688,25,0,0,0,0,1,0,0,0,0,0,0,0,1,25.0,False,3,0.4032258064516129,1
43,1,94288,57,6,1,0,0,1,0,0,0,1,0,0,0,0,8.142857142857142,False,2,1.2954545454545454,0
49,1,81195,85,3,0,0,0,1,1,0,0,1,0,1,0,0,21.25,False,5,1.7,0
23,1,50581,55,9,0,0,1,0,0,0,0,1,0,0,0,0,5.5,False,5,2.2916666666666665,0
49,0,82648,16,1,0,0,0,0,1,0,0,0,0,1,0,0,8.0,False,5,0.32,1
21,0,60087,95,9,0,0,1,0,0,0,0,0,1,0,1,0,9.5,False,5,4.318181818181818,0
28,1,79930,14,4,1,0,0,0,0,1,0,0,1,1,0,0,2.8,False,0,0.4827586206896552,1
34,1,62981,39,5,0,1,0,0,0,0,0,0,1,0,1,0,6.5,False,3,1.1142857142857143,0
55,0,99298,28,8,0,0,0,0,0,0,0,1,0,1,0,0,3.111111111111111,False,5,0.5,1
41,1,76167,96,3,1,0,0,0,1,0,0,0,0,1,0,0,24.0,False,2,2.2857142857142856,0
22,0,105304,92,1,1,0,0,1,0,0,0,1,0,0,0,1,46.0,False,0,4.0,0
69,1,73408,51,4,0,1,0,1,1,0,0,0,1,0,0,0,10.2,False,5,0.7285714285714285,0
51,1,69499,49,2,0,0,0,1,1,0,0,0,1,0,0,0,16.333333333333332,False,5,0.9423076923076923,0
23,1,82269,9,1,0,1,0,1,0,0,0,0,0,0,0,0,4.5,False,3,0.375,1
39,1,68559,58,0,1,1,0,0,0,0,0,1,0,1,0,0,58.0,False,0,1.45,0
