customer_id,age,gender,income,subscription_type,contract_length,payment_method,monthly_usage_hours,customer_service_calls,has_loyalty_card,region,churned
76,43,Male,140022,Basic,Quarterly,Credit Card,49,8,No,West,No
77,61,Female,59257,Basic,Monthly,Credit Card,7,3,Yes,North,No
78,51,Male,117272,Standard,Monthly,Bank Transfer,11,0,Yes,East,No
79,27,Female,72207,Premium,Quarterly,PayPal,92,0,No,South,Yes
80,53,Female,43281,Premium,Monthly,Bank Transfer,54,4,No,North,No
81,31,Male,91246,Standard,Monthly,PayPal,87,1,Yes,West,Yes
82,48,Female,31435,Basic,Monthly,Cash,45,7,No,North,No
83,65,Female,128875,Standard,Monthly,PayPal,23,9,Yes,East,Yes
84,32,Female,130686,Basic,Monthly,PayPal,28,4,No,North,No
85,25,Female,121357,Basic,Monthly,PayPal,57,4,Yes,West,No
86,31,Male,56660,Premium,Monthly,Credit Card,26,1,No,West,No
87,40,Female,35084,Basic,Monthly,PayPal,25,6,No,East,No
88,57,Male,112197,Premium,Quarterly,Cash,54,7,Yes,West,No
89,38,Female,43507,Basic,Yearly,Cash,29,9,No,South,Yes
90,33,Female,102595,Standard,Quarterly,Cash,83,0,No,West,No
91,62,Male,113807,Standard,Yearly,PayPal,97,1,No,South,No
92,35,Female,75539,Premium,Monthly,Bank Transfer,36,9,No,North,Yes
93,64,Female,145953,Standard,Yearly,Bank Transfer,14,3,No,South,No
94,41,Female,37491,Standard,Monthly,Cash,78,4,Yes,South,No
95,43,Male,142831,Basic,Yearly,Credit Card,35,1,No,North,No
96,42,Female,80192,Standard,Yearly,Bank Transfer,30,0,Yes,West,No
97,62,Male,110395,Basic,Quarterly,PayPal,92,8,Yes,South,No
98,58,Female,93888,Standard,Yearly,Bank Transfer,17,0,Yes,West,No
99,46,Male,103609,Standard,Monthly,Cash,67,3,No,North,No
100,32,Male,39077,Standard,Monthly,Credit Card,80,1,No,East,Yes
101,62,Female,147440,Basic,Monthly,Bank Transfer,30,3,Yes,West,No
102,18,Female,50953,Basic,Monthly,Bank Transfer,93,7,Yes,West,No
103,42,Male,106919,Standard,Monthly,Cash,45,7,No,East,No
104,24,Male,144682,Basic,Quarterly,Credit Card,79,8,Yes,East,No
105,26,Female,97889,Basic,Yearly,Credit Card,89,4,Yes,North,Yes
106,41,Male,53821,Basic,Monthly,Cash,51,6,Yes,West,No
107,18,Female,67567,Premium,Quarterly,PayPal,47,2,No,West,No
108,61,Female,145374,Standard,Yearly,Bank Transfer,53,9,No,North,Yes
109,25,Female,54860,Basic,Yearly,PayPal,64,3,No,West,No
110,41,Female,51195,Basic,Yearly,Bank Transfer,38,9,No,South,Yes
111,28,Male,107475,Basic,Monthly,Bank Transfer,64,8,No,South,No
112,68,Female,120874,Standard,Yearly,PayPal,87,9,No,South,No
113,34,Male,117266,Standard,Quarterly,Cash,89,9,No,West,No
114,25,Female,51427,Basic,Monthly,Cash,7,0,No,South,No
115,52,Male,130732,Basic,Monthly,Bank Transfer,22,1,Yes,South,No
116,52,Female,57083,Basic,Quarterly,Cash,81,4,Yes,North,No
117,50,Male,117046,Standard,Monthly,Bank Transfer,82,2,No,North,No
118,22,Male,87372,Standard,Quarterly,Cash,41,1,No,East,No
119,59,Female,74064,Basic,Quarterly,Bank Transfer,74,0,No,East,No
120,56,Female,37813,Basic,Monthly,Cash,10,9,No,East,Yes
121,58,Female,61598,Basic,Monthly,Credit Card,57,2,No,East,No
122,45,Female,142718,Premium,Quarterly,PayPal,7,0,Yes,North,No
123,24,Male,123106,Basic,Monthly,Credit Card,50,0,No,North,Yes
124,26,Female,57082,Standard,Monthly,PayPal,91,0,No,North,No
125,25,Male,59241,Standard,Monthly,PayPal,52,7,No,South,No
126,29,Male,126214,Basic,Monthly,Bank Transfer,33,2,No,South,Yes
127,51,Female,74569,Basic,Yearly,PayPal,1,0,No,East,No
128,50,Male,41745,Basic,Monthly,Credit Card,53,6,Yes,South,No
129,65,Male,56029,Standard,Quarterly,Credit Card,60,9,No,West,No
130,40,Male,43025,Standard,Monthly,Cash,34,2,Yes,North,No
131,41,Male,131660,Standard,Monthly,Credit Card,4,7,No,East,No
132,54,Female,44288,Standard,Quarterly,Cash,17,3,No,East,No
133,52,Female,119186,Basic,Quarterly,PayPal,4,3,No,West,No
134,61,Female,36540,Premium,Monthly,Credit Card,43,4,No,South,Yes
135,57,Female,127768,Standard,Monthly,PayPal,90,5,No,East,Yes
136,39,Male,111958,Basic,Monthly,Credit Card,4,6,No,South,No
137,44,Male,98878,Premium,Monthly,Credit Card,1,3,No,South,No
138,52,Female,71846,Standard,Quarterly,Cash,71,7,No,West,No
139,18,Female,131148,Standard,Monthly,PayPal,94,5,No,East,Yes
140,52,Female,105932,Standard,Monthly,Credit Card,50,0,No,South,No
141,54,Male,47482,Premium,Monthly,Bank Transfer,73,0,Yes,South,Yes
142,64,Female,53411,Standard,Yearly,PayPal,61,8,No,West,No
143,31,Female,80975,Basic,Yearly,PayPal,35,9,No,West,Yes
144,20,Female,90545,Basic,Monthly,PayPal,8,5,Yes,South,Yes
145,18,Male,142302,Premium,Quarterly,Cash,24,9,Yes,West,No
146,22,Male,108797,Basic,Monthly,Bank Transfer,83,7,Yes,South,No
147,43,Male,82307,Basic,Monthly,PayPal,36,6,No,East,No
148,31,Male,33093,Basic,Quarterly,Credit Card,50,5,No,North,No
149,56,Male,107258,Basic,Yearly,Credit Card,43,3,No,West,No
150,44,Male,52042,Standard,Yearly,Cash,27,6,Yes,North,No
151,26,Male,82930,Premium,Monthly,Credit Card,32,8,No,South,Yes
152,32,Male,147584,Basic,Monthly,PayPal,78,9,Yes,South,No
153,32,Female,74413,Basic,Quarterly,Credit Card,18,9,No,South,No
154,43,Female,143387,Basic,Monthly,PayPal,28,6,No,North,No
155,59,Male,123623,Premium,Monthly,Credit Card,29,0,Yes,South,Yes
156,30,Male,127883,Standard,Monthly,Bank Transfer,16,9,No,West,No
157,68,Female,63756,Basic,Quarterly,Cash,99,8,Yes,East,No
158,49,Male,83268,Premium,Monthly,Cash,47,3,No,East,No
159,56,Male,69214,Premium,Monthly,Bank Transfer,59,2,No,West,Yes
160,66,Male,111871,Premium,Yearly,Bank Transfer,31,3,No,East,Yes
161,69,Female,58602,Premium,Monthly,Cash,4,3,Yes,North,No
162,49,Female,83331,Basic,Monthly,Bank Transfer,37,9,Yes,South,No
163,21,Female,78901,Standard,Monthly,PayPal,17,1,No,South,No
164,47,Female,129986,Basic,Monthly,Credit Card,39,0,Yes,South,No
165,54,Female,93416,Premium,Monthly,Cash,48,9,No,North,No
166,40,Male,62196,Standard,Monthly,Bank Transfer,46,0,No,North,No
167,56,Female,35626,Standard,Yearly,PayPal,90,7,Yes,North,No
168,62,Male,37424,Standard,Monthly,Cash,48,1,Yes,West,No
169,32,Male,42857,Basic,Yearly,Bank Transfer,39,9,No,North,Yes
170,60,Female,140459,Standard,Monthly,Cash,4,4,No,East,Yes
171,46,Female,145621,Premium,Monthly,Bank Transfer,30,3,No,West,No
172,53,Male,49982,Premium,Monthly,Cash,30,7,No,West,Yes
173,30,Male,106961,Basic,Monthly,PayPal,22,1,No,West,No
174,49,Male,31980,Basic,Quarterly,PayPal,75,9,Yes,North,Yes
175,24,Female,78290,Basic,Monthly,Credit Card,66,8,No,West,No
176,68,Female,56431,Standard,Monthly,Cash,12,6,No,North,No
177,39,Female,114976,Premium,Yearly,Credit Card,94,6,Yes,North,No
178,45,Female,137288,Basic,Yearly,Cash,36,0,Yes,West,Yes
179,19,Female,112711,Standard,Yearly,Bank Transfer,18,1,Yes,South,No
180,59,Male,144187,Premium,Monthly,Bank Transfer,90,3,Yes,South,No
181,62,Female,56385,Standard,Quarterly,Credit Card,53,3,No,West,No
182,23,Male,68158,Standard,Monthly,Cash,71,2,No,South,Yes
183,45,Male,53019,Standard,Monthly,Credit Card,1,6,Yes,East,No
184,45,Male,48639,Standard,Monthly,PayPal,58,7,No,East,No
185,61,Female,115530,Basic,Monthly,Credit Card,90,1,No,North,No
186,61,Female,129911,Standard,Monthly,Credit Card,87,3,No,South,No
187,37,Female,51563,Standard,Monthly,Bank Transfer,90,2,No,East,Yes
188,47,Male,69341,Premium,Yearly,Credit Card,6,1,Yes,West,No
189,28,Male,145672,Standard,Monthly,Cash,70,5,No,South,No
190,45,Male,35776,Standard,Monthly,Bank Transfer,44,3,No,East,No
191,42,Male,66444,Basic,Monthly,Credit Card,72,5,Yes,East,No
192,56,Male,98916,Basic,Yearly,PayPal,24,1,Yes,West,Yes
193,50,Male,38711,Basic,Monthly,Credit Card,86,3,Yes,North,No
194,18,Female,104318,Basic,Monthly,Credit Card,19,5,Yes,West,Yes
195,44,Female,112970,Standard,Quarterly,Credit Card,18,4,No,North,No
196,69,Female,142301,Premium,Quarterly,Bank Transfer,95,2,No,East,No
197,30,Female,115553,Basic,Monthly,Cash,30,7,No,North,No
198,58,Male,60707,Basic,Quarterly,PayPal,42,6,No,East,No
199,20,Male,69110,Premium,Quarterly,Credit Card,33,2,No,East,No
200,56,Female,91788,Basic,Quarterly,Cash,74,5,No,South,No
201,23,Male,112879,Standard,Monthly,Cash,12,3,No,North,No
202,25,Female,68827,Standard,Yearly,Bank Transfer,94,4,Yes,North,Yes
203,44,Female,137188,Standard,Monthly,PayPal,27,4,No,North,Yes
204,26,Female,35655,Basic,Monthly,Bank Transfer,39,6,No,West,No
205,54,Male,74859,Basic,Monthly,Cash,9,4,Yes,South,No
206,50,Female,83625,Standard,Monthly,Cash,21,2,No,South,Yes
207,68,Female,82098,Standard,Monthly,Cash,76,9,No,South,No
208,59,Female,45251,Basic,Quarterly,Bank Transfer,29,4,No,West,No
209,61,Male,30526,Standard,Monthly,PayPal,33,6,No,North,No
210,41,Male,98760,Basic,Monthly,Credit Card,62,4,No,North,No
211,32,Female,77837,Standard,Monthly,Bank Transfer,15,4,No,North,No
212,49,Male,41536,Basic,Monthly,Cash,2,8,No,South,No
213,49,Male,58541,Premium,Yearly,Bank Transfer,52,2,No,South,No
214,41,Male,109083,Basic,Monthly,Cash,44,5,No,East,Yes
215,58,Male,81027,Basic,Monthly,Credit Card,54,0,No,West,No
216,69,Male,64531,Basic,Monthly,Credit Card,18,9,No,West,No
217,66,Male,38712,Basic,Monthly,PayPal,3,4,No,South,No
218,66,Male,134101,Premium,Monthly,Cash,7,7,No,East,No
219,69,Male,95455,Premium,Quarterly,PayPal,43,4,Yes,North,No
220,29,Male,104744,Basic,Yearly,PayPal,82,8,Yes,South,No
221,56,Male,35109,Basic,Monthly,Credit Card,38,5,Yes,West,No
222,19,Female,79268,Standard,Quarterly,Bank Transfer,37,7,No,West,No
223,20,Female,130737,Premium,Quarterly,Bank Transfer,58,9,Yes,West,No
224,66,Male,84615,Standard,Quarterly,PayPal,33,7,Yes,North,No
225,54,Female,112503,Basic,Monthly,Credit Card,59,2,No,West,No
226,66,Female,59759,Basic,Monthly,Cash,95,6,No,North,No
227,34,Male,115708,Standard,Monthly,Bank Transfer,11,6,No,North,No
228,66,Male,90112,Basic,Quarterly,PayPal,68,9,Yes,North,No
229,19,Male,132471,Standard,Quarterly,Bank Transfer,82,5,No,South,Yes
230,19,Female,56589,Basic,Monthly,Bank Transfer,68,6,No,North,No
231,45,Female,60015,Standard,Monthly,Cash,98,1,No,East,No
232,40,Male,59009,Basic,Yearly,Credit Card,93,8,No,West,Yes
233,54,Male,113309,Standard,Quarterly,Cash,88,9,No,South,No
234,49,Male,92046,Basic,Yearly,Credit Card,22,9,Yes,West,No
235,50,Female,136661,Standard,Quarterly,Bank Transfer,66,0,Yes,North,No
236,18,Female,56143,Basic,Monthly,PayPal,44,0,Yes,South,Yes
237,36,Female,36154,Standard,Monthly,Cash,6,2,No,East,No
238,19,Female,51804,Standard,Quarterly,Credit Card,42,2,No,North,No
239,61,Male,71688,Standard,Monthly,Bank Transfer,25,0,No,West,No
240,43,Male,94288,Standard,Monthly,Credit Card,57,6,Yes,East,No
241,49,Male,81195,Standard,Quarterly,Credit Card,85,3,No,North,No
242,23,Male,50581,Premium,Monthly,Credit Card,55,9,No,East,No
243,49,Female,82648,Basic,Quarterly,Bank Transfer,16,1,No,North,No
244,21,Female,60087,Premium,Monthly,PayPal,95,9,No,South,No
245,28,Male,79930,Basic,Yearly,PayPal,14,4,Yes,North,No
246,34,Male,62981,Basic,Monthly,PayPal,39,5,No,South,Yes
247,55,Female,99298,Basic,Monthly,Credit Card,28,8,No,North,No
248,41,Male,76167,Basic,Quarterly,Bank Transfer,96,3,Yes,North,No
249,22,Female,105304,Standard,Monthly,Credit Card,92,1,Yes,West,No
250,69,Male,73408,Standard,Quarterly,PayPal,51,4,No,East,Yes
251,51,Male,69499,Standard,Quarterly,PayPal,49,2,No,East,No
252,23,Male,82269,Standard,Monthly,Bank Transfer,9,1,No,East,Yes
253,39,Male,68559,Basic,Monthly,Credit Card,58,0,Yes,North,Yes
254,28,Male,144126,Basic,Monthly,Cash,45,9,No,North,No
255,65,Male,104319,Basic,Monthly,Cash,22,1,No,North,No
256,33,Male,141925,Basic,Yearly,PayPal,32,5,No,South,No
257,50,Female,125317,Basic,Quarterly,Bank Transfer,69,7,No,South,Yes
258,26,Female,126347,Basic,Quarterly,Credit Card,87,2,Yes,West,No
259,23,Female,78787,Standard,Quarterly,Credit Card,69,8,No,North,Yes
260,33,Female,65488,Standard,Monthly,PayPal,42,8,No,East,No
261,46,Female,104441,Premium,Yearly,PayPal,53,1,No,East,No
262,20,Male,104663,Premium,Quarterly,Credit Card,96,7,No,West,No
263,37,Male,52431,Standard,Quarterly,Credit Card,59,9,No,East,No
264,53,Female,91681,Basic,Yearly,PayPal,74,4,No,West,Yes
265,36,Male,93483,Standard,Monthly,Credit Card,39,3,No,North,No
266,43,Female,79153,Standard,Quarterly,Cash,15,9,No,East,No
267,20,Female,36368,Basic,Monthly,PayPal,71,4,No,North,No
268,36,Male,57424,Basic,Monthly,Credit Card,29,3,No,South,No
269,37,Male,142360,Premium,Monthly,PayPal,3,7,No,East,Yes
270,49,Male,75004,Basic,Yearly,Bank Transfer,83,3,No,South,No
271,24,Female,113869,Standard,Yearly,PayPal,10,9,Yes,East,No
272,69,Male,118652,Standard,Quarterly,PayPal,92,5,No,North,No
273,58,Female,142755,Basic,Quarterly,Bank Transfer,29,1,Yes,West,Yes
274,50,Female,86985,Basic,Monthly,Cash,79,4,No,North,Yes
275,57,Female,80069,Basic,Yearly,Credit Card,35,5,No,North,No
276,56,Male,82326,Basic,Monthly,Bank Transfer,6,4,No,North,No
277,35,Male,138737,Basic,Monthly,PayPal,12,1,No,East,No
278,57,Female,111061,Premium,Monthly,Credit Card,38,6,No,West,Yes
279,18,Male,53398,Basic,Quarterly,Bank Transfer,77,3,No,South,No
280,28,Male,128393,Standard,Quarterly,Credit Card,93,7,Yes,North,No
281,45,Male,80861,Basic,Monthly,Credit Card,19,6,No,East,No
282,42,Female,105897,Premium,Monthly,Bank Transfer,67,6,Yes,South,No
283,67,Female,111905,Basic,Quarterly,Credit Card,8,8,No,North,No
284,40,Male,98577,Basic,Monthly,Cash,8,0,No,South,No
285,48,Female,95641,Premium,Quarterly,Bank Transfer,84,9,No,North,No
286,47,Male,39078,Premium,Yearly,Cash,47,5,Yes,South,Yes
287,59,Male,55003,Basic,Monthly,PayPal,4,5,Yes,South,No
288,52,Male,92768,Premium,Monthly,Credit Card,51,5,No,West,No
289,24,Male,81047,Basic,Quarterly,PayPal,85,5,No,West,No
290,33,Female,101626,Basic,Quarterly,PayPal,67,9,No,North,No
291,43,Female,87660,Basic,Monthly,Credit Card,45,6,No,East,No
292,65,Female,134386,Basic,Yearly,Bank Transfer,8,9,No,West,No
293,69,Male,79786,Standard,Monthly,Credit Card,87,5,Yes,South,No
294,66,Male,31925,Basic,Monthly,PayPal,16,0,No,West,No
295,19,Male,113976,Basic,Quarterly,PayPal,77,2,No,West,Yes
296,18,Female,135221,Standard,Yearly,Bank Transfer,67,1,Yes,North,Yes
297,65,Male,147832,Standard,Monthly,Credit Card,9,5,No,West,No
298,29,Female,56015,Basic,Quarterly,PayPal,60,7,Yes,West,Yes
299,22,Female,63320,Standard,Monthly,Cash,78,2,No,South,No
300,54,Female,94881,Basic,Monthly,PayPal,77,9,Yes,West,No
301,49,Female,120827,Standard,Monthly,PayPal,71,7,No,South,No
302,26,Female,132215,Standard,Yearly,Bank Transfer,15,7,Yes,West,No
303,58,Female,56289,Premium,Monthly,Cash,71,4,No,West,No
304,52,Male,33389,Basic,Monthly,PayPal,98,7,No,East,Yes
305,36,Male,55683,Basic,Monthly,PayPal,41,5,No,West,No
306,65,Female,43629,Basic,Yearly,Cash,22,4,No,South,No
307,33,Female,91550,Basic,Quarterly,Credit Card,24,8,No,South,No
308,20,Male,54826,Basic,Quarterly,Credit Card,44,6,Yes,North,No
309,37,Female,130734,Premium,Monthly,PayPal,1,7,No,North,No
310,41,Female,56630,Basic,Quarterly,PayPal,10,0,Yes,East,Yes
311,50,Male,128762,Basic,Monthly,Credit Card,80,1,No,South,No
312,41,Female,76163,Standard,Quarterly,Bank Transfer,72,7,No,South,Yes
313,69,Female,128511,Basic,Yearly,Cash,56,8,No,South,No
314,28,Female,96435,Standard,Monthly,Cash,89,3,No,East,No
315,66,Male,41653,Basic,Quarterly,Bank Transfer,50,9,Yes,South,No
316,25,Male,57961,Basic,Monthly,Bank Transfer,12,9,Yes,North,No
317,53,Male,111941,Basic,Monthly,Bank Transfer,89,8,Yes,East,Yes
318,55,Female,104137,Basic,Monthly,Bank Transfer,81,3,No,North,No
319,57,Female,63662,Premium,Monthly,Bank Transfer,60,9,Yes,North,Yes
320,37,Male,128818,Basic,Monthly,Bank Transfer,26,9,Yes,East,Yes
321,52,Female,86446,Standard,Quarterly,Cash,78,9,No,West,No
322,65,Female,51288,Basic,Monthly,Bank Transfer,41,8,No,West,No
323,42,Female,125081,Basic,Quarterly,Credit Card,36,6,No,North,No
324,52,Female,66877,Premium,Monthly,Bank Transfer,23,1,No,West,No
325,42,Female,141562,Basic,Monthly,Bank Transfer,43,8,Yes,South,No
326,46,Male,45313,Standard,Quarterly,Cash,6,3,No,East,No
327,35,Female,110885,Premium,Monthly,Cash,69,7,No,North,Yes
328,63,Male,102715,Standard,Monthly,Bank Transfer,43,6,Yes,South,No
329,35,Female,40326,Premium,Quarterly,Cash,25,6,Yes,West,No
330,19,Male,140091,Basic,Monthly,PayPal,18,7,No,South,No
331,52,Female,31560,Basic,Monthly,Cash,62,0,No,West,No
332,33,Male,109148,Basic,Monthly,Cash,13,4,Yes,North,No
333,58,Female,113186,Standard,Yearly,Cash,43,1,No,South,No
334,53,Male,56745,Premium,Quarterly,Cash,78,1,No,East,No
335,50,Female,61890,Basic,Quarterly,Credit Card,28,0,No,North,No
336,21,Male,50022,Standard,Quarterly,Credit Card,18,4,No,South,No
337,50,Female,82579,Basic,Monthly,Credit Card,59,1,No,South,No
338,31,Male,100316,Standard,Monthly,Bank Transfer,60,3,No,West,No
339,38,Male,113847,Basic,Quarterly,Bank Transfer,63,2,No,North,No
340,65,Female,58380,Premium,Monthly,PayPal,57,2,No,North,No
341,37,Female,140198,Standard,Monthly,Credit Card,92,1,No,North,No
342,25,Male,32356,Basic,Monthly,Bank Transfer,51,5,No,North,No
343,24,Female,100326,Basic,Monthly,Cash,56,1,No,West,No
344,20,Male,122447,Basic,Yearly,Cash,27,7,No,East,No
345,34,Male,144994,Basic,Monthly,Credit Card,32,7,Yes,North,No
346,50,Male,119899,Basic,Monthly,PayPal,9,4,No,West,No
347,65,Female,50049,Premium,Monthly,PayPal,96,9,No,East,No
348,29,Male,105717,Standard,Yearly,Cash,84,6,No,East,No
349,68,Male,135361,Standard,Monthly,PayPal,92,3,Yes,West,Yes
350,39,Female,46082,Basic,Monthly,Credit Card,97,0,No,North,No
351,39,Female,30661,Premium,Quarterly,Cash,68,1,No,East,No
352,63,Female,67412,Standard,Quarterly,Bank Transfer,46,9,Yes,North,No
353,47,Female,144015,Basic,Monthly,Bank Transfer,98,9,No,North,No
354,55,Male,32920,Standard,Monthly,PayPal,67,3,Yes,South,No
355,55,Male,121194,Standard,Monthly,Cash,26,0,Yes,North,Yes
356,62,Male,144306,Basic,Monthly,Cash,8,7,No,South,No
357,68,Male,90315,Basic,Monthly,Bank Transfer,6,8,No,East,No
358,25,Female,109561,Basic,Monthly,Cash,80,3,No,West,No
359,44,Male,38946,Basic,Monthly,Cash,24,9,Yes,South,Yes
360,44,Male,124242,Premium,Monthly,Cash,48,2,No,West,No
361,51,Female,75500,Premium,Quarterly,PayPal,94,1,Yes,East,No
362,38,Male,134540,Standard,Yearly,Cash,45,4,Yes,North,No
363,47,Male,46309,Basic,Quarterly,Credit Card,13,2,Yes,East,No
364,50,Male,85230,Basic,Monthly,PayPal,69,9,No,West,No
365,45,Male,141822,Standard,Monthly,Cash,25,6,No,East,No
366,64,Male,128656,Standard,Yearly,Cash,20,5,No,North,No
367,50,Male,60027,Basic,Monthly,Credit Card,82,0,No,East,No
368,22,Female,102541,Standard,Monthly,PayPal,82,7,Yes,North,Yes
369,65,Female,142340,Premium,Monthly,Bank Transfer,66,1,No,South,No
370,36,Male,144846,Basic,Quarterly,Bank Transfer,74,4,No,West,No
371,21,Male,89321,Basic,Quarterly,PayPal,45,8,No,North,No
372,52,Female,30956,Standard,Monthly,Cash,47,7,Yes,North,No
373,66,Male,130375,Basic,Monthly,Cash,63,1,No,East,Yes
374,34,Male,104131,Basic,Yearly,Bank Transfer,76,8,No,South,Yes
375,61,Male,77908,Basic,Monthly,Bank Transfer,77,4,No,North,No
376,45,Female,108339,Basic,Quarterly,Bank Transfer,55,9,No,South,No
377,47,Male,55963,Standard,Quarterly,Credit Card,75,5,Yes,South,No
378,46,Female,131757,Standard,Quarterly,Bank Transfer,19,2,No,East,No
379,63,Male,69443,Basic,Monthly,Credit Card,35,2,Yes,North,No
380,23,Female,129259,Premium,Monthly,PayPal,53,9,No,East,Yes
381,52,Female,69063,Premium,Monthly,Cash,26,7,No,West,Yes
382,58,Male,144225,Premium,Yearly,Bank Transfer,14,9,Yes,West,No
383,54,Female,146400,Basic,Yearly,Cash,45,9,No,North,No
384,41,Male,110818,Basic,Monthly,Cash,44,1,No,South,No
385,46,Female,34703,Premium,Monthly,Bank Transfer,88,1,Yes,North,No
